"Location Client Service(Automatic, Do not Edit)",Location,Client,Service,RT,OT,DT,Billing,ID,Email
1,,,,,,,,,
1 Fordham Hill Millenium Restoration QSP,1 Fordham Hill,Millenium Restoration,QSP,65,97.5,130,Rate,1534,
10 Park Ave Manhattan Millenium Restoration  QSP,10 Park Ave Manhattan,Millenium Restoration ,QSP,60,90,120,Rate,1540,
100 Flatbush Ave BK UAG FSM,100 Flatbush Ave BK,UAG,FSM,65,97.5,130,Rate,1691,"tvoutsas@uag.nyc, cbarnett@uag.nyc, mrashid@uag.nyc , bjohnson@uag.nyc"
100 Flatbush Ave BK UAG SSM,100 Flatbush Ave BK,UAG,SSM,116,174,232,Rate,1691,"tvoutsas@uag.nyc, cbarnett@uag.nyc, mrashid@uag.nyc , bjohnson@uag.nyc"
102-10 66th Road. Q Canido Basonas  QSP,102-10 66th Road. Q,Canido Basonas ,QSP,2535,,,Flat,1640,basonas@aol.com
102-30 66th Road. Q Canido Basonas  QSP,102-30 66th Road. Q,Canido Basonas ,QSP,65,97.5,130,Rate,1640,basonas@aol.com
1040 6th St  Manhattan Canido Basonas  QSP,1040 6th St  Manhattan,Canido Basonas ,QSP,$65.00,$97.50,$130.00,Rate,1536,
108 E 96th St Canido Basonas  QSP,108 E 96th St,Canido Basonas ,QSP,70,105,140,Rate,1485,
1095 Southern Blvd Gilbane Super,1095 Southern Blvd,Gilbane,Super,2750,,,Flat,,"APinvoicingNYRO@gilbaneco.com, JDiBiase@gilbaneco.com, chuynh@gilbaneco.com, PMurphy@gilbaneco.com"
111 Wall St - 20 Story Renovation Hunter Roberts FSM,111 Wall St - 20 Story Renovation,Hunter Roberts,FSM,60,90,120,Rate,1526,"APinvoicesny@hrcg.com, DSteele@hrcg.com"
111 Wall St - 20 Story Renovation Hunter Roberts SSM,111 Wall St - 20 Story Renovation,Hunter Roberts,SSM,115,172.5,230,Rate,1526,"APinvoicesny@hrcg.com, DSteele@hrcg.com"
111 Wall St - 20 Story Renovation Hunter Roberts Super,111 Wall St - 20 Story Renovation,Hunter Roberts,Super,80,120,160,Rate,1526,"APinvoicesny@hrcg.com, DSteele@hrcg.com"
116th Central Park south Millenium Restoration  QSP,116th Central Park south,Millenium Restoration ,QSP,60,90,120,Rate,1638,
